"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/1992","412.70","408.79","418.08","406.34","","0.96%"
"01/01/1992","408.78","417.03","421.18","408.64","","-1.99%"
"12/01/1991","417.09","375.11","418.32","371.36","","11.16%"
"11/01/1991","375.22","392.46","398.22","371.63","","-4.39%"
"10/01/1991","392.45","387.86","393.81","376.11","","1.18%"
"09/01/1991","387.86","395.43","397.62","382.77","","-1.91%"
"08/01/1991","395.43","387.81","396.82","374.09","","1.96%"
"07/01/1991","387.81","371.18","387.81","370.92","","4.49%"
"06/01/1991","371.16","389.81","389.81","367.98","","-4.79%"
"05/01/1991","389.83","375.35","389.85","365.83","","3.86%"
"04/01/1991","375.34","375.22","391.26","370.27","","0.03%"
"03/01/1991","375.22","367.07","379.66","363.73","","2.22%"
"02/01/1991","367.07","343.91","370.96","340.37","","6.73%"
"01/01/1991","343.93","330.20","343.93","309.35","","4.15%"
"12/01/1990","330.22","322.23","333.98","321.97","","2.48%"
"11/01/1990","322.22","303.99","323.02","301.61","","5.99%"
"10/01/1990","304.00","306.10","319.69","294.51","","-0.67%"
"09/01/1990","306.05","322.56","326.53","295.98","","-5.12%"
"08/01/1990","322.56","356.15","357.35","306.18","","-9.43%"
"07/01/1990","356.15","358.02","369.78","350.09","","-0.52%"
"06/01/1990","358.02","361.26","368.78","351.23","","-0.89%"
"05/01/1990","361.23","330.80","362.26","330.80","","9.20%"
"04/01/1990","330.80","339.94","347.30","327.76","","-2.69%"
"03/01/1990","339.94","331.89","344.49","331.08","","2.43%"
"02/01/1990","331.89","329.08","336.09","322.10","","0.85%"
"01/01/1990","329.08","353.40","360.59","319.83","","-6.88%"
"12/01/1989","353.40","346.01","354.10","339.63","","2.14%"
"11/01/1989","345.99","340.36","346.50","330.91","","1.65%"
"10/01/1989","340.36","349.15","360.44","327.12","","-2.52%"
"09/01/1989","349.15","351.45","354.13","341.37","","-0.65%"
"08/01/1989","351.45","346.08","352.73","339.00","","1.55%"
"07/01/1989","346.08","317.98","346.08","317.26","","8.84%"
"06/01/1989","317.98","320.51","329.19","314.38","","-0.79%"
"05/01/1989","320.52","309.64","323.06","304.06","","3.51%"
"04/01/1989","309.64","294.87","310.45","294.35","","5.01%"
"03/01/1989","294.87","288.86","299.99","286.46","","2.08%"
"02/01/1989","288.86","297.47","300.57","286.26","","-2.89%"
"01/01/1989","297.47","277.72","297.51","273.81","","7.11%"
"12/01/1988","277.72","273.68","280.45","270.47","","1.47%"
"11/01/1988","273.70","278.97","280.37","262.85","","-1.89%"
"10/01/1988","278.97","271.89","283.95","268.84","","2.60%"
"09/01/1988","271.91","261.52","274.87","256.98","","3.97%"
"08/01/1988","261.52","272.03","274.20","256.53","","-3.86%"
"07/01/1988","272.02","273.50","276.36","262.48","","-0.54%"
"06/01/1988","273.50","262.16","276.88","262.10","","4.33%"
"05/01/1988","262.16","261.36","263.70","248.85","","0.32%"
"04/01/1988","261.33","258.89","272.05","254.71","","0.94%"
"03/01/1988","258.89","267.82","272.64","256.07","","-3.33%"
"02/01/1988","267.82","257.05","267.82","247.82","","4.18%"
"01/01/1988","257.07","247.10","261.78","240.17","","4.04%"
"12/01/1987","247.08","230.32","253.35","221.24","","7.29%"
"11/01/1987","230.30","251.73","257.21","225.75","","-8.53%"
"10/01/1987","251.79","321.83","328.94","216.46","","-21.76%"
"09/01/1987","321.83","329.81","332.18","308.56","","-2.42%"
"08/01/1987","329.80","318.62","337.89","314.51","","3.50%"
"07/01/1987","318.66","303.99","318.85","302.53","","4.82%"
"06/01/1987","304.00","290.12","310.27","286.93","","4.79%"
"05/01/1987","290.10","286.99","298.69","277.01","","0.60%"
"04/01/1987","288.36","291.59","303.65","275.67","","-1.15%"
"03/01/1987","291.70","284.17","302.72","282.30","","2.64%"
"02/01/1987","284.20","274.08","287.55","273.16","","3.69%"
"01/01/1987","274.08","242.17","280.96","242.17","","13.18%"
"12/01/1986","242.17","249.22","254.87","241.28","","-2.83%"
"11/01/1986","249.22","243.97","249.22","235.51","","2.15%"
"10/01/1986","243.98","231.32","244.51","231.32","","5.47%"
"09/01/1986","231.32","252.93","254.13","228.08","","-8.54%"
"08/01/1986","252.93","236.12","254.24","231.92","","7.12%"
"07/01/1986","236.12","250.67","253.20","233.07","","-5.87%"
"06/01/1986","250.84","246.04","251.81","238.23","","1.41%"
"05/01/1986","247.35","235.52","249.19","232.26","","5.02%"
"04/01/1986","235.52","238.90","245.47","226.30","","-1.41%"
"03/01/1986","238.90","226.92","240.11","222.18","","5.28%"
"02/01/1986","226.92","211.78","227.92","210.82","","7.15%"
"01/01/1986","211.78","211.28","214.57","202.60","","0.24%"
"12/01/1985","211.28","202.17","213.08","200.10","","4.51%"
"11/01/1985","202.17","189.82","203.40","189.37","","6.51%"
"10/01/1985","189.82","182.06","190.15","181.16","","4.25%"
"09/01/1985","182.08","188.63","188.80","179.45","","-3.47%"
"08/01/1985","188.63","190.92","192.17","186.10","","-1.20%"
"07/01/1985","190.92","191.85","196.07","189.30","","-0.48%"
"06/01/1985","191.85","189.55","191.85","185.03","","1.21%"
"05/01/1985","189.55","179.83","189.98","178.35","","5.41%"
"04/01/1985","179.83","180.66","183.61","177.86","","-0.46%"
"03/01/1985","180.66","181.18","183.89","176.53","","-0.29%"
"02/01/1985","181.18","179.63","183.95","177.75","","0.86%"
"01/01/1985","179.63","167.20","180.27","163.36","","7.41%"
"12/01/1984","167.24","163.58","169.03","161.54","","2.24%"
"11/01/1984","163.58","166.09","170.41","162.99","","-1.51%"
"10/01/1984","166.09","166.10","169.62","160.02","","-0.01%"
"09/01/1984","166.10","166.68","169.65","163.06","","-0.35%"
"08/01/1984","166.68","150.66","168.80","150.66","","10.63%"
"07/01/1984","150.66","153.16","153.87","147.26","","-1.65%"
"06/01/1984","153.18","150.55","155.64","148.53","","1.75%"
"05/01/1984","150.55","160.05","162.11","148.68","","-5.94%"
"04/01/1984","160.05","159.18","160.69","154.12","","0.55%"
"03/01/1984","159.18","157.06","160.46","153.77","","1.35%"
"02/01/1984","157.06","163.41","164.00","152.13","","-3.89%"
"01/01/1984","163.41","164.93","169.54","162.03","","-0.92%"
"12/01/1983","164.93","166.37","166.77","161.58","","-0.88%"
"11/01/1983","166.40","163.55","168.07","161.63","","1.74%"
"10/01/1983","163.55","165.99","172.65","162.86","","-1.52%"
"09/01/1983","166.07","164.40","170.41","163.95","","1.02%"
"08/01/1983","164.40","162.34","165.91","158.50","","1.13%"
"07/01/1983","162.56","168.11","170.72","161.50","","-3.03%"
"06/01/1983","167.64","162.38","171.60","160.80","","3.23%"
"05/01/1983","162.39","164.41","166.99","160.29","","-1.24%"
"04/01/1983","164.43","152.92","164.43","150.17","","7.50%"
"03/01/1983","152.96","148.07","155.02","148.07","","3.31%"
"02/01/1983","148.06","145.29","150.88","141.90","","1.90%"
"01/01/1983","145.30","140.65","148.36","138.08","","3.31%"
"12/01/1982","140.64","138.56","143.68","134.79","","1.52%"
"11/01/1982","138.53","133.72","144.36","132.89","","3.60%"
"10/01/1982","133.72","120.40","140.40","120.15","","11.04%"
"09/01/1982","120.42","119.52","126.43","117.84","","0.76%"
"08/01/1982","119.51","107.71","120.26","102.20","","11.60%"
"07/01/1982","107.09","109.52","112.39","105.57","","-2.30%"
"06/01/1982","109.61","111.97","112.48","107.01","","-2.03%"
"05/01/1982","111.88","115.96","119.92","111.66","","-3.92%"
"04/01/1982","116.44","111.96","119.33","111.48","","4.00%"
"03/01/1982","111.96","113.11","114.80","104.46","","-1.02%"
"02/01/1982","113.11","119.81","119.81","110.03","","-6.05%"
"01/01/1982","120.40","122.55","123.72","113.63","","-1.75%"
"12/01/1981","122.55","126.35","127.32","121.04","","-3.01%"
"11/01/1981","126.35","122.35","126.97","119.13","","3.66%"
"10/01/1981","121.89","116.18","123.28","115.00","","4.91%"
"09/01/1981","116.18","122.79","124.58","110.19","","-5.38%"
"08/01/1981","122.79","130.92","135.18","122.29","","-6.21%"
"07/01/1981","130.92","130.01","131.78","125.96","","-0.22%"
"06/01/1981","131.21","132.59","135.67","128.77","","-1.04%"
"05/01/1981","132.59","132.81","134.92","128.78","","-0.17%"
"04/01/1981","132.81","136.00","137.72","131.58","","-2.35%"
"03/01/1981","136.00","131.27","138.38","128.56","","3.60%"
"02/01/1981","131.27","129.48","132.02","124.66","","1.33%"
"01/01/1981","129.55","135.76","140.32","128.57","","-4.57%"
"12/01/1980","135.76","140.52","140.66","125.32","","-3.39%"
"11/01/1980","140.52","127.47","141.96","127.23","","10.24%"
"10/01/1980","127.47","125.46","135.88","124.66","","1.60%"
"09/01/1980","125.46","122.38","132.17","121.79","","2.52%"
"08/01/1980","122.38","121.67","127.78","119.42","","0.58%"
"07/01/1980","121.67","114.24","123.93","113.54","","6.50%"
"06/01/1980","114.24","111.24","117.98","109.77","","2.70%"
"05/01/1980","111.24","106.29","112.72","103.50","","4.66%"
"04/01/1980","106.29","102.09","106.79","98.95","","4.11%"
"03/01/1980","102.09","113.66","114.34","94.23","","-10.18%"
"02/01/1980","113.66","114.16","120.22","111.33","","-0.44%"
"01/01/1980","114.16","107.94","117.17","103.26","","5.76%"
"12/01/1979","107.94","106.16","110.33","105.07","","1.68%"
"11/01/1979","106.16","101.82","107.89","99.42","","4.26%"
"10/01/1979","101.82","109.19","112.16","99.06","","-6.86%"
"09/01/1979","109.32","109.32","111.58","105.38","","0.00%"
"08/01/1979","109.32","103.81","109.84","103.14","","5.31%"
"07/01/1979","103.81","102.91","105.17","100.35","","0.87%"
"06/01/1979","102.91","99.08","103.67","98.57","","3.87%"
"05/01/1979","99.08","101.76","102.57","97.49","","-2.63%"
"04/01/1979","101.76","101.56","103.95","100.14","","0.17%"
"03/01/1979","101.59","96.28","103.31","95.98","","5.52%"
"02/01/1979","96.28","99.93","100.52","95.38","","-3.65%"
"01/01/1979","99.93","96.11","102.59","95.22","","3.97%"
"12/01/1978","96.11","95.01","98.58","92.64","","1.49%"
"11/01/1978","94.70","94.13","97.41","91.77","","1.66%"
"10/01/1978","93.15","102.54","106.23","91.65","","-9.16%"
"09/01/1978","102.54","103.29","108.05","100.66","","-0.73%"
"08/01/1978","103.29","100.68","106.27","99.95","","2.59%"
"07/01/1978","100.68","95.53","101.18","93.59","","5.39%"
"06/01/1978","95.53","97.24","101.84","93.99","","-1.76%"
"05/01/1978","97.24","96.83","100.32","94.57","","0.42%"
"04/01/1978","96.83","89.20","97.91","88.07","","8.54%"
"03/01/1978","89.21","87.04","91.35","86.45","","2.49%"
"02/01/1978","87.04","89.25","91.32","86.58","","-2.48%"
"01/01/1978","89.25","95.10","95.15","88.02","","-6.15%"
"12/01/1977","95.10","94.83","95.67","91.76","","0.28%"
"11/01/1977","94.83","92.19","97.11","90.01","","2.70%"
"10/01/1977","92.34","96.53","97.27","90.20","","-4.34%"
"09/01/1977","96.53","96.77","98.43","94.44","","-0.25%"
"08/01/1977","96.77","98.85","99.84","95.04","","-2.10%"
"07/01/1977","98.85","100.48","102.57","97.71","","-1.62%"
"06/01/1977","100.48","96.12","101.65","95.89","","4.54%"
"05/01/1977","96.12","98.44","100.93","95.52","","-2.36%"
"04/01/1977","98.44","98.42","102.07","96.53","","0.02%"
"03/01/1977","98.42","99.82","102.70","97.80","","-1.40%"
"02/01/1977","99.82","102.03","103.32","98.82","","-2.17%"
"01/01/1977","102.03","107.46","107.97","100.91","","-5.05%"
"12/01/1976","107.46","102.10","107.82","101.62","","5.25%"
"11/01/1976","102.10","102.90","103.78","98.18","","-0.78%"
"10/01/1976","102.90","105.24","105.75","99.21","","-2.22%"
"09/01/1976","105.24","102.91","108.72","102.60","","2.26%"
"08/01/1976","102.91","103.44","105.41","100.43","","-0.51%"
"07/01/1976","103.44","104.28","106.78","102.31","","-0.81%"
"06/01/1976","104.28","100.18","105.07","97.97","","4.09%"
"05/01/1976","100.18","101.64","103.99","98.26","","-1.44%"
"04/01/1976","101.64","102.77","104.63","99.57","","-1.10%"
"03/01/1976","102.77","99.71","104.39","98.23","","3.07%"
"02/01/1976","99.71","100.86","103.07","98.50","","-1.14%"
"01/01/1976","100.86","100.11","101.99","89.81","","11.83%"
"12/01/1975","90.19","91.24","91.90","86.15","","-1.15%"
"11/01/1975","91.24","89.04","92.33","87.63","","2.47%"
"10/01/1975","89.04","83.87","91.75","82.57","","6.16%"
"09/01/1975","83.87","86.88","87.42","81.57","","-3.46%"
"08/01/1975","86.88","88.75","89.04","82.21","","-2.11%"
"07/01/1975","88.75","95.19","96.58","87.68","","-6.77%"
"06/01/1975","95.19","91.32","95.85","89.30","","4.43%"
"05/01/1975","91.15","87.30","93.51","86.94","","4.41%"
"04/01/1975","87.30","83.36","88.79","79.66","","4.73%"
"03/01/1975","83.36","81.59","87.08","80.08","","2.17%"
"02/01/1975","81.59","76.98","83.56","76.00","","5.99%"
"01/01/1975","76.98","68.65","78.69","68.65","","12.28%"
"12/01/1974","68.56","69.80","69.80","64.13","","-2.02%"
"11/01/1974","69.97","73.90","77.41","66.85","","-5.32%"
"10/01/1974","73.90","63.54","75.90","60.96","","16.30%"
"09/01/1974","63.54","72.15","73.01","62.52","","-11.93%"
"08/01/1974","72.15","79.31","83.53","69.37","","-9.03%"
"07/01/1974","79.31","86.00","86.89","78.96","","-7.78%"
"06/01/1974","86.00","87.28","93.76","85.13","","-1.47%"
"05/01/1974","87.28","90.31","93.59","85.87","","-3.36%"
"04/01/1974","90.31","93.98","95.42","88.62","","-3.91%"
"03/01/1974","93.98","96.22","101.05","93.44","","-2.33%"
"02/01/1974","96.22","96.57","97.43","89.53","","-0.36%"
"01/01/1974","96.57","97.55","100.94","91.62","","-1.00%"
"12/01/1973","97.55","95.83","99.09","91.05","","1.66%"
"11/01/1973","95.96","108.29","109.20","94.88","","-11.39%"
"10/01/1973","108.29","108.43","112.82","107.08","","-0.13%"
"09/01/1973","108.43","104.25","110.45","102.13","","4.01%"
"08/01/1973","104.25","108.17","108.17","99.74","","-3.67%"
"07/01/1973","108.22","104.10","111.04","100.44","","3.80%"
"06/01/1973","104.26","104.95","109.52","101.45","","-0.66%"
"05/01/1973","104.95","106.97","112.25","101.36","","-1.89%"
"04/01/1973","106.97","111.52","113.65","105.44","","-4.08%"
"03/01/1973","111.52","111.68","115.61","107.41","","-0.14%"
"02/01/1973","111.68","116.03","118.98","109.80","","-3.75%"
"01/01/1973","116.03","118.06","121.74","114.97","","-1.71%"
"12/01/1972","118.05","116.67","119.79","114.63","","1.18%"
"11/01/1972","116.67","111.58","117.91","111.32","","4.56%"
"10/01/1972","111.58","110.55","112.26","106.27","","0.93%"
"09/01/1972","110.55","111.09","112.12","107.35","","-0.49%"
"08/01/1972","111.09","107.39","113.45","107.06","","3.45%"
"07/01/1972","107.39","107.14","110.27","104.43","","0.23%"
"06/01/1972","107.14","109.53","110.51","105.94","","-2.18%"
"05/01/1972","109.53","107.67","111.48","103.83","","1.73%"
"04/01/1972","107.67","107.20","111.11","106.18","","0.44%"
"03/01/1972","107.20","106.57","109.75","105.86","","0.59%"
"02/01/1972","106.57","103.94","107.16","103.10","","2.53%"
"01/01/1972","103.94","102.09","105.00","100.87","","1.81%"
"12/01/1971","102.09","93.99","102.21","93.95","","8.62%"
"11/01/1971","93.99","94.23","96.08","89.34","","-0.25%"
"10/01/1971","94.23","98.34","100.96","92.96","","-4.18%"
"09/01/1971","98.34","99.03","102.25","96.97","","-0.70%"
"08/01/1971","99.03","95.58","101.51","92.81","","3.61%"
"07/01/1971","95.58","99.16","101.52","95.08","","-3.16%"
"06/01/1971","98.70","99.63","102.07","96.92","","-0.93%"
"05/01/1971","99.63","103.95","104.42","98.68","","-4.16%"
"04/01/1971","103.95","100.31","105.60","99.63","","3.63%"
"03/01/1971","100.31","96.75","102.03","96.11","","3.68%"
"02/01/1971","96.75","95.88","99.59","94.92","","0.91%"
"01/01/1971","95.88","92.15","96.49","90.64","","4.05%"
"12/01/1970","92.15","87.20","92.99","86.11","","5.68%"
"11/01/1970","87.20","83.25","87.60","82.23","","4.74%"
"10/01/1970","83.25","84.30","87.75","82.29","","-1.25%"
"09/01/1970","84.30","81.52","84.99","79.95","","3.41%"
"08/01/1970","81.52","78.05","82.47","74.13","","4.45%"
"07/01/1970","78.05","78.07","79.03","70.69","","7.33%"
"06/01/1970","72.72","76.55","79.96","72.25","","-5.00%"
"05/01/1970","76.55","81.52","82.32","68.61","","-6.10%"
"04/01/1970","81.52","89.63","90.70","79.31","","-9.05%"
"03/01/1970","89.63","89.50","91.07","86.19","","0.15%"
"02/01/1970","89.50","85.02","90.33","84.64","","5.27%"
